,Дата,visitors_count
0,2018-04-11,1
1,2018-06-23,363
2,2018-06-24,172
3,2018-06-26,53
4,2018-06-27,82
5,2018-06-28,54
6,2018-06-29,113
7,2018-06-30,113
8,2018-07-01,64
9,2018-07-03,28
10,2018-07-04,51
11,2018-07-05,37
12,2018-07-06,10
13,2018-07-07,34
14,2018-07-08,106
15,2018-07-10,48
16,2018-07-11,60
17,2018-07-12,130
18,2018-07-13,44
19,2018-07-14,56
20,2018-07-15,31
21,2018-07-17,45
22,2018-07-18,35
23,2018-07-19,68
24,2018-07-20,76
25,2018-07-21,54
26,2018-07-22,37
27,2018-07-24,22
28,2018-07-25,37
29,2018-07-26,37
30,2018-07-27,58
31,2018-07-28,73
32,2018-07-29,57
33,2018-07-31,66
34,2018-08-01,48
35,2018-08-02,61
36,2018-08-03,47
37,2018-08-04,43
38,2018-08-05,33
39,2018-08-07,17
40,2018-08-08,19
41,2018-08-09,27
42,2018-08-10,40
43,2018-08-11,37
44,2018-08-12,26
45,2018-08-14,31
46,2018-08-15,26
47,2018-08-16,17
48,2018-08-17,23
49,2018-08-18,53
50,2018-08-19,41
51,2018-08-21,22
52,2018-08-22,22
53,2018-08-23,34
54,2018-08-24,18
55,2018-08-25,17
56,2018-08-26,33
57,2018-08-28,32
58,2018-08-29,24
59,2018-08-30,22
60,2018-08-31,23
61,2018-09-01,22
62,2018-09-02,19
63,2018-09-04,26
64,2018-09-05,43
65,2018-09-06,35
66,2018-09-07,27
67,2018-09-08,15
68,2018-09-09,24
69,2018-09-11,4
70,2018-09-12,15
71,2018-09-13,85
72,2018-09-14,82
73,2018-09-15,36
74,2018-09-16,8
75,2018-09-18,52
76,2018-09-19,65
77,2018-09-20,18
78,2018-09-21,3
79,2018-09-22,25
80,2018-09-23,19
81,2018-09-25,2
82,2018-09-26,2
83,2018-09-27,1
84,2018-09-28,1
85,2018-09-29,40
86,2018-09-30,62
87,2018-10-02,19
88,2018-10-03,2
89,2018-10-05,2
90,2018-10-06,16
91,2018-10-07,7
92,2018-10-09,1
93,2018-10-10,2
94,2018-10-11,8
95,2018-10-12,8
96,2018-10-13,18
97,2018-10-14,33
98,2018-10-16,2
99,2018-10-17,8
100,2018-10-18,18
101,2018-10-19,42
102,2018-10-20,68
103,2018-10-21,58
104,2018-10-23,4
105,2018-10-24,1
106,2018-10-25,15
107,2018-10-26,4
108,2018-10-27,27
109,2018-10-28,34
110,2018-10-30,26
111,2018-10-31,152
112,2018-11-01,56
113,2018-11-02,71
114,2018-11-03,24
115,2018-11-04,42
116,2018-11-06,6
117,2018-11-07,3
118,2018-11-08,29
119,2018-11-09,7
120,2018-11-10,137
121,2018-11-11,63
122,2018-11-13,10
123,2018-11-14,3
124,2018-11-16,5
125,2018-11-17,82
126,2018-11-18,63
127,2018-11-21,3
128,2018-11-22,1
129,2018-11-23,1
130,2018-11-24,50
131,2018-11-25,41
132,2018-11-28,37
133,2018-11-29,2
134,2018-11-30,1
135,2018-12-01,84
136,2018-12-02,29
137,2018-12-04,79
138,2018-12-05,3
139,2018-12-06,9
140,2018-12-07,47
141,2018-12-08,64
142,2018-12-09,40
143,2018-12-11,18
144,2018-12-12,7
145,2018-12-15,16
146,2018-12-18,48
147,2018-12-19,3
148,2018-12-20,7
149,2018-12-21,8
150,2018-12-22,23
151,2018-12-23,18
152,2018-12-26,8
153,2018-12-27,29
154,2018-12-28,32
155,2018-12-29,76
156,2018-12-30,47
157,2019-01-02,25
158,2019-01-03,6
159,2019-01-04,9
160,2019-01-05,24
161,2019-01-06,46
162,2019-01-09,1
163,2019-01-10,1
164,2019-01-12,64
165,2019-01-13,66
166,2019-01-16,6
167,2019-01-18,1
168,2019-01-19,12
169,2019-01-20,32
170,2019-01-26,18
171,2019-01-27,18
172,2019-01-29,34
173,2019-01-30,20
174,2019-01-31,54
175,2019-02-01,5
176,2019-02-02,30
177,2019-02-03,41
